DEGREE_CLASS_CODE;DEGREE_CLASS;DEGREE_CLASS_NAME;PROGRAMME_TYPE_CODE;
7188;D613-PAS;ARTE DELLA TIPOGRAFIA E DELLA GRAFICA PUBBLICITARIA;PS;
7189;D614-PAS;ARTE DEL TAGLIO E CONFEZIONE;PS;
7190;D615-PAS;ARTE DELLA DECORAZIONE PITTORICA E SCENOGRAFICA;PS;
7191;D616-PAS;ARTE DELLA MODELLISTICA, DELL'ARREDAMENTO E DELLA SCENOTECNICA;PS;
7193;D618-PAS;ARTE DELL'EBANISTERIA, DELL'INTAGLIO E DELL'INTARSIO;PS;
7194;D619-PAS;ARTE DELLE LACCHE, DELLA DORATURA E DEL RESTAURO;PS;
7195;D620-PAS;ARTE DEL MOSAICO E DEL COMMESSO;PS;
7196;D621-PAS;ARTE DELLA LAVORAZIONE DEL MARMO E DELLA PIETRA;PS;
7197;D622-PAS;LABORATORIO TECNOLOGICO DELLE ARTI DELLA CERAMICA DEL VETRO E DEL CRISTALLO;PS;
7366;AB77-PAS;Chitarra;PS;
5001;SAS-5001;Classe Medicina clinica generale;SD;
5002;SAS-5002;Classe Medicina specialistica;SD;
5003;SAS-5003;Classe Neuroscienze e scienze cliniche del comportamento;SD;
5004;SAS-5004;Classe Medicina clinica dell'età evolutiva;SD;
5005;SAS-5005;Classe delle Chirurgie generali;SC;
5006;SAS-5006;Classe delle Chirurgie specialistiche;SC;
5007;SAS-5007;Classe delle Chirurgie del distretto testa e collo;SC;
5008;SAS-5008;Classe delle Chirurgie cardio-toraco-vascolari;SC;
5009;SAS-5009;Classe della Medicina diagnostica e di laboratorio;SS;
5010;SAS-5010;Classe della diagnostica per immagini e radioterapia;SS;
5011;SAS-5011;Classe dei servizi clinici specialistici;SS;
5012;SAS-5012;Classe dei servizi clinici biomedici;SS;
5013;SAS-5013;Classe delle specializzazioni in odontoiatria;SS;
5014;SAS-5014;Classe della sanità pubblica;SS;
5015;SAS-5015;Classe della farmaceutica;SS;
7061;A001-PAS;AEROTECNICA E COSTRUZIONI AERONAUTICHE;PS;
7062;A002-PAS;ANATOMIA, FISIOPATOLOGIA OCULARE E LABORATORIO DI MISURE OFTALMICHE;PS;
6242;F460;BASSO TUBA;TF;
6243;F470;PEDAGOGIA MUSICALE PER DIDATTICA DELLA MUSICA;TF;
6244;F480;ELEMENTI DI COMPOSIZIONE PER DIDATTICA DELLA MUSICA;TF;
6245;F490;DIREZIONE DI CORO E REPERTORIO CORALE PER DIDATTICA DELLA MUSICA;TF;
6246;F500;STORIA DELLA MUSICA PER DIDATTICA DELLA MUSICA;TF;
6247;F510;PRATICA DELLA LETTURA VOCALE E PIANISTICA PER DIDATTICA DELLA MUSICA;TF;
6248;F520;FISARMONICA;TF;
6249;F530;FLAUTO DOLCE;TF;
6250;F540;JAZZ;TF;
6251;F550;LIUTO;TF;
6252;F560;MANDOLINO;TF;
6253;F570;MUSICA ELETTRONICA;TF;
6254;F580;MUSICA VOCALE DA CAMERA;TF;
6255;F590;PREPOLIFONIA;TF;
6256;F600;VIOLA DA GAMBA;TF;
6257;G010;PITTURA;TF;
6258;G020;SCULTURA;TF;
6259;G030;SCENOGRAFIA;TF;
6260;G040;DECORAZIONE;TF;
6261;G060;STILE, STORIA DELL'ARTE E DEL COSTUME;TF;
6262;G070;ANATOMIA ARTISTICA;TF;
6263;G080;TECNICHE DELL'INCISIONE;TF;
6264;G090;PLASTICA ORNAMENTALE;TF;
6265;G100;TECNICHE GRAFICHE SPECIALI;TF;
6266;G110;TECNICHE DI FONDERIA;TF;
6267;G120;TECNICHE DELLA SCULTURA;TF;
6268;G130;RESTAURO IND1;TF;
6269;G140;RESTAURO IND2;TF;
6270;G150;RESTAURO IND3;TF;
6271;G160;ELEMENTI DI ARCHITETTURA E URBANISTICA;TF;
6272;G170;METODOLOGIA DELLA PROGETTAZIONE;TF;
6273;G180;MODELLISTICA;TF;
6274;G190;PEDAGOGIA E DIDATTICA DELL ' ARTE;TF;
6275;G200;FOTOGRAFIA;TF;
6276;G210;COSTUME PER LO SPETTACOLO;TF;
6277;G220;TEORIA E METODO DEI MASS MEDIA;TF;
6278;G230;TEORIA DELLA PERCEZIONE E PSICOLOGIA DELLE FORME;TF;
6279;G240;DESIGN;TF;
6280;G250;SCENOTECNICA;TF;
6281;G260;STORIA DELLO SPETTACOLO;TF;
6282;G270;TECNICHE PITTORICHE;TF;
6283;G280;ESTETICA;TF;
6284;G290;STORIA E METODOLOGIA DELLA CRITICA D' ARTE;TF;
6285;G300;BENI CULTURALI E AMBIENTALI;TF;
6286;G310;ANTROPOLOGIA CULTURALE;TF;
6287;G320;REGIA;TF;
6288;G330;TECNICHE ED USO DEL MARMO, DELLE PIETRE E DELLE PIETRE DURE;TF;
6289;G340;FENOMENOLOGIA DELLE ARTI CONTEMPORANEE;TF;
6290;H010;ASSISTENTE DI PITTURA;TF;
6291;H020;ASSISTENTE DI SCULTURA;TF;
6292;H030;ASSISTENTE DI SCENOGRAFIA;TF;
6293;H040;ASSISTENTE DI DECORAZIONE;TF;
6294;H060;ASSISTENTE DI STILE, STORIA DELL'ARTE E DEL COSTUME;TF;
6295;H070;ASSISTENTE DI ANATOMIA ARTISTICA;TF;
6296;H080;ASSISTENTE DI TECNICHE DELL'INCISIONE;TF;
6297;H090;ASSISTENTE DI PLASTICA ORNAMENTALE;TF;
6298;L010;TEORIA DELLA PERCEZIONE E PSICOLOGIA DELLA FORMA;TF;
6299;L020;TEORIA E METODO DEI MASS MEDIA;TF;
6300;L030;PEDAGOGIA E DIDATTICHE SPECIALI DELL'INSEGNAMENTO;TF;
6301;L040;TECNICA DELLA FOTOGRAFIA;TF;
6302;L050;TECNICHE GRAFICHE SPECIALI;TF;
6303;L060;MODELLISTICA;TF;
6304;L070;ASPETTI PROPEDEUTICI E METODOLOGICI DELLA PROGETTAZIONE;TF;
6305;M011;TECNICHE PITTORICHE;TF;
6306;M012;RESTAURO (ANALISI STORICA,CRITICA,TECNICA, METODOLOGIA  D'INTERVENTO);TF;
6307;M013;DESIGN (TECNICA E METODO PROGETTUALE);TF;
6308;M014;ASPETTI STORICI E SOCIO-ECONOMICI DELLA PROGETTAZIONE;TF;
6309;M021;TECNOLOGIA ED USO DEL MARMO, DELLE PIETRE E DELLE PIETRE DURE;TF;
6310;M022;TECNOLOGIA ED USO DELLE ARENARIE E DEI MATERIALI SINTETICI;TF;
6311;M023;TECNICHE DI FONDERIA (TEORIA E PRATICA DI FORMATURA E  DI MICRO E MACRO FUSIONE);TF;
6312;M031;STORIA DELLO SPETTACOLO, DEL COSTUME TEATRALE EDELLE   ARTI SCENICHE;TF;
6313;M032;SCENOTECNICA;TF;
6314;M033;ELEMENTI DI ARCHITETTURA E URBANISTICA;TF;
6315;M034;TECNICHE DEL COSTUME TEATRALE;TF;
6316;M040;BENI CULTURALI;TF;
6317;M050;ELEMENTI DI LETTERATURA MODERNA E CONTEMPORANEA;TF;
6318;M060;ILLUMINOTECNICA;TF;
6319;M070;NUOVI MATERIALI E STRUTTURE LINGUAGGIO VISIVO;TF;
6320;M080;STORIA DEL COSTUME;TF;
6321;M090;STORIA DELL'ARTE CONTEMPORANEA E PROBLEMI DELLE AVANGUARDIE;TF;
6322;M100;ESTETICA;TF;
6323;M110;ANTROPOLOGIA CULTURALE E SOCIOLOGIA DELL'ARTE;TF;
6324;M120;RICERCA E TECNICA DEI MATERIALI ARTISTICI DELLA SCULTURA;TF;
6325;M130;SEMIOLOGIA;TF;
6326;M140;STUDIO DELL'AMBIENTE E TECNICHE DI RAPPRESENTAZIONE;TF;
6327;M150;ARREDAMENTO TEATRALE;TF;
6328;M160;ANTROPOLOGIA CULTURALE-ETNOLOGIA;TF;
6329;M170;TEORIA E TECNICA DELLA RIPRESA CINEMATOGRAFICA;TF;
6330;M180;MACCHINERIA TEATRALE;TF;
6331;M190;ESTETICA SPERIMENTALE;TF;
6332;M200;ARCHEOLOGIA;TF;
6333;M210;RICERCHE SOCIOLOGICHE NELL'ARTE;TF;
6334;M220;GRAFICA PUBBLICITARIA;TF;
6335;M230;STUDIO TEC.VALORI ARTIST.SPONTANEI MEDIANTE ESPRES.GRAFICA,PLAST.,PITTANTICHITA' ITAL;TF;
6336;M240;TRADIZIONI POPOLARI ABRUZZESI;TF;
6337;M250;SOCIOLOGIA DELL'ARTE;TF;
6338;M260;STORIA E CIVILTA' DELL'UOMO;TF;
6339;M270;ELEMENTI DI REGIA;TF;
6340;M280;TECNICHE DELL'ANIMAZIONE;TF;
6341;M290;STORIA DELLA MUSICA;TF;
6342;M300;RILEVAZIONE BENI CULTURALI;TF;
6343;M310;SCUOLA SERALE ARTEFICI;TF;
6344;M320;ELEMENTI DI STORIA POLITICA E SOCIALE;TF;
6345;M330;ARREDAMENTO;TF;
6346;M340;LETTERATURA CONTEMPORANEA;TF;
6347;M350;TECNICA DELLA REGIA;TF;
6348;M360;SERIGRAFIA;TF;
6349;M370;CORRENTI ARTISTICHE CONTEMPORANEE E D'AVANGUARDIA;TF;
6350;M380;MOSAICO;TF;
6351;M390;LETTERATURA ITALIANA E STRANIERA;TF;
6352;M400;CALCOGRAFIA;TF;
6353;M410;VARIE TECNICHE DELLA SCULTURA;TF;
6354;M420;FORMATURA;TF;
6355;M430;ELEMENTI DI REGIA TEATRALE, CINEMATOGRAFICA, TELEVISIVA;TF;
6356;M440;LAVORAZIONE DEL LEGNO;TF;
6357;M450;SCENOGRAFIA TELEVISIVA;TF;
6358;M460;STORIA DELLA CRITICA D'ARTE CONTEMPORANEA;TF;
6359;M470;CORRENTI ARTISTICHE CONTEMPORANEE;TF;
6360;M480;SCUOLA LIBERA DEL NUDO;TF;
6361;N010;ANALISI DELLA MUSICA;TF;
6362;N020;ASSISTENTE MUSICALE (RADIO,TV,DISCHI E APPARECCHIATURE ELETTRONICHE);TF;
6363;N030;BASSO TUBA;TF;
6364;N040;DIDATTICA DELLA MUSICA;TF;
6365;N050;DIREZIONE D'ORCHESTRA PER AVVIAMENTO AL TEATRO LIRICO;TF;
6366;AB77;Chitarra;TF;
6367;N060;INFORMATICA MUSICALE;TF;
6368;AC77;Clarinetto;TF;
6369;N070;ITALIANO, LATINO, STORIA ED EDUCAZIONE CIVICA;TF;
6370;AD77;Corno;TF;
6371;AE77;Fagotto;TF;
6372;N080;LINGUA STRANIERA;TF;
6373;AF77;Fisarmonica;TF;
6374;N090;ACCORDATURA DI STRUMENTI A TASTIERA;TF;
6375;AG77;Flauto;TF;
6376;N100;LIUTERIA;TF;
6377;N110;MANDOLINO;TF;
6378;N120;MUSICA ELETTRONICA;TF;
6379;N130;MUSICA JAZZ;TF;
6380;N140;MUSICA SACRA, LITURGICA, LITURGICA PREPOLIFONICA;TF;
6381;N150;MUSICA VOCALE DA CAMERA;TF;
6382;AH77;Oboe;TF;
6383;N170;STORIA DELL'ARTE;TF;
6384;N180;STRUMENTI ANTICHI(LIUTO,FLAUTI DOLCI,VIOLA ETC.);TF;
6385;AI77;Percussioni;TF;
6386;N200;PROPEDEUTICA MUSICALE;TF;
6387;AJ77;Pianoforte;TF;
6388;N210;COLLABORAZIONE PIANISTICA;TF;
6389;AK77;Saxofono;TF;
6390;N220;CLARINETTO BASSO;TF;
6391;N230;DIZIONE, RECITAZIONE E STORIA DEL TEATRO;TF;
6392;AL77;Tromba;TF;
6393;N240;MATERIE LETTERARIE;TF;
6394;N250;ORIENTAMENTO MUSICALE;TF;
6395;AM77;Violino;TF;
6396;N260;PRATICA PIANISTICA;TF;
6397;P010;TECNICA DELLA DANZA;TF;
6398;P020;TEORIA DELLA DANZA;TF;
6399;P030;PROPEDEUTICA DELLA DANZA (CORSO STRAORDINARIO);TF;
6400;P040;STORIA DELLA DANZA;TF;
6401;P050;COMPOSIZIONE;TF;
6402;P060;ACCOMPAGNATORE AL PIANOFORTE;TF;
6403;P070;STORIA DELLA MUSICA;TF;
6404;P080;STORIA DELL'ARTE PER ACCADEMIA NAZIONALE DI DANZA;TF;
6405;P090;SOLFEGGIO;TF;
6406;P100;COMUNICAZIONI VISIVE (CORSO SPECIALE);TF;
6407;P110;INGLESE PRESSO ACCADEMIA NAZIONALE DI DANZA (CORSO SPECIALE);TF;
6408;P120;FRANCESE PRESSO ACCADEMIA NAZIONALE DI DANZA (CORSO SPECIALE);TF;
6409;P130;REPERTORIO (CORSO SPECIALE);TF;
6410;P140;ANATOMIA E FISIOLOGIA DEL MOVIMENTO (CORSO SPECIALE);TF;
6411;Q010;STORIA DELLO SPETTACOLO;TF;
6412;Q020;STORIA DEL TEATRO;TF;
6413;Q030;STORIA DELLA MUSICA;TF;
6414;Q040;TRUCCO E MASCHERA;TF;
6415;Q050;EDUCAZIONE ALLA VOCE;TF;
6416;Q060;CANTO;TF;
6417;Q070;DANZA;TF;
6418;Q080;SCHERMA ED ACROBATICA;TF;
6419;Q090;ACCOMPAGNATORE AL PIANOFORTE;TF;
6420;AA77;Arpa;TF;
6421;AN77;Violoncello;TF;
6501;AA46;LINGUA e CIV. STRANIERA (CINESE);TF;
6502;AB46;LINGUA e CIV. STRANIERA (GIAPPONESE);TF;
6503;AC46;LINGUA e CIV. STRANIERA (EBRAICO);TF;
6504;AD46;LINGUA e CIV. STRANIERA (ARABO);TF;
6505;AE46;LINGUA e CIV. STRANIERA (NEOGRECO);TF;
6506;AF46;LINGUA e CIV. STRANIERA (PORTOGHESE);TF;
6507;AC02;A029,A030: EDUCAZIONE FISICA NEGLI ISTITUTI E SCUOLE DI ISTRUZIONE SECONDARIA II GRADO, SCIENZE MOTORIE E SPORTIVE;TF;
6508;AC03;A031,A032: EDUCAZIONE MUSICALE NEGLI ISTITUTI DI ISTRUZIONE SECONDARIA DI II GRADO,  MUSICA;TF;
6509;AC05;A043,A050: ITALIANO, STORIA  E GEOGRAFIA NELLA SCUOLA SECONDARIA DI I GRADO, MATERIE LETTERARIE NEGLI ISTITUTI DI ISTRUZIONE SECONDARIA DI II GRADO;TF;
6510;AC06;A245,A246: LINGUA STRANIERA (FRANCESE), LINGUA E CIVILTA' STRANIERA (FRANCESE);TF;
6511;AC07;A345,A346: LINGUA STRANIERA (INGLESE) , LINGUA E CIVILTA' STRANIERA (INGLESE);TF;
6512;AC08;A445,A446: LINGUA STRANIERA (SPAGNOLO), LINGUA E CIVILTA' STRANIERA (SPAGNOLO);TF;
6513;AC09;A545,A546: LINGUA STRANIERA (TEDESCO), LINGUA E CIVILTA' STRANIERA (TEDESCO);TF;
6514;AC01;A025,A028: DISEGNO E STORIA DELL'ARTE, ARTE E IMMAGINE;TF;
7001;A030-PAS;SCIENZE MOTORIE E SPORTIVE;PS;
7002;A032-PAS;EDUCAZIONE MUSICALE NELLA SCUOLA MEDIA;PS;
7003;A033-PAS;EDUCAZIONE TECNICA NELLA SCUOLA MEDIA;PS;
7004;A043-PAS;ITALIANO, STORIA  E GEOGRAFIA NELLA SCUOLA SECONDARIA DI I GRADO;PS;
7005;A059-PAS;MATEMATICHE E SCIENZE NELLA SCUOLA SECONDARIA DI I GRADO;PS;
7006;A245-PAS;LINGUA STRANIERA (FRANCESE);PS;
7007;A345-PAS;LINGUA STRANIERA (INGLESE);PS;
7008;A080-PAS;ITALIANO NELLA SCUOLA MEDIA CON LINGUA DI INSEGNAMENTO SLOVENA;PS;
7009;A085-PAS;SLOVENO,STORIA ED EDCIVICA E GEOGRAFIA NELLA SCUOLA MEDIA CON LINGUA SLOVENA;PS;
7012;A097-PAS;TEDESCO (SECONDA LINGUA) NELLA SCUOLA MEDIA IN LINGUA ITALIANA DELLA PROV DI BOLZANO;PS;
7014;A013-PAS;CHIMICA E TECNOLOGIE CHIMICHE;PS;
7015;A016-PAS;COSTRUZIONI, TECNOLOGIA DELLE COSTRUZIONI E DISEGNO TECNICO;PS;
7016;A017-PAS;DISCIPLINE ECONOMICO-AZIENDALI;PS;
7017;A019-PAS;DISCIPLINE GIURIDICHE ED ECONOMICHE;PS;
7018;A020-PAS;DISCIPLINE MECCANICHE E TECNOLOGIA;PS;
7019;A029-PAS;EDUCAZIONE FISICA NEGLI ISTITUTI E SCUOLE DI ISTRUZIONE SECONDARIA II GRADO;PS;
7020;A034-PAS;ELETTRONICA;PS;
7021;A035-PAS;ELETTROTECNICA ED APPLICAZIONI;PS;
7022;A036-PAS;FILOSOFIA, PSICOLOGIA E SCIENZE DELL'EDUCAZIONE;PS;
7023;A037-PAS;FILOSOFIA E STORIA;PS;
7024;A038-PAS;FISICA;PS;
7025;A039-PAS;GEOGRAFIA;PS;
7026;A042-PAS;INFORMATICA;PS;
7027;A047-PAS;MATEMATICA;PS;
7028;A048-PAS;MATEMATICA APPLICATA;PS;
7029;A049-PAS;MATEMATICA E FISICA;PS;
7030;A050-PAS;MATERIE LETTERARIE NEGLI ISTITUTI DI ISTRUZIONE SECONDARIA DI II GRADO;PS;
7031;A051-PAS;MATERIE LETTERARIE E LATINO NEI LICEI E NELL'ISTITUTO MAGISTRALE;PS;
7032;A052-PAS;MATERIE LETTERARIE, LATINO E GRECO NEL LICEO CLASSICO;PS;
7033;A057-PAS;SCIENZA DEGLI ALIMENTI;PS;
7034;A058-PAS;SCIENZE E MECCANICA AGRARIA, TECNICHE DI GESTIONE AZIENDALE, FITOPATOLOGIA ED ENTOMOLOGIA AGRARIA;PS;
7035;A060-PAS;SCIENZE NATURALI, CHIMICA E GEOGRAFIA, MICROBIOLOGIA;PS;
7036;A061-PAS;STORIA DELL'ARTE;PS;
7037;A071-PAS;TECNOLOGIA E DISEGNO TECNICO;PS;
7038;A072-PAS;TOPOGRAFIA GENERALE, COSTRUZIONI RURALI E DISEGNO;PS;
7039;A246-PAS;LINGUA E CIVILTA' STRANIERA (FRANCESE);PS;
7040;A346-PAS;LINGUA E CIVILTA' STRANIERA (INGLESE);PS;
7041;A446-PAS;LINGUA E CIVILTA' STRANIERA (SPAGNOLO);PS;
7042;A546-PAS;LINGUA E CIVILTA' STRANIERA (TEDESCO);PS;
7043;A646-PAS;LINGUA E CIVILTA' STRANIERA (RUSSO);PS;
7047;A081-PAS;LINGUA E LETTERE ITALIANE NEGLI ISTITUTI DI ISTRSECONDARIA DI II GRADO LINGUA SLOVENA;PS;
7048;A082-PAS;MATERIE LETTERARIE NEGLI ISTITUTI DI II GRADO DI LINGUA SLOVENA;PS;
8001;A001-FI;ARTE E IMMAGINE NELLA SCUOLA SECONDARIA DI I GRADO;FI;
8002;A022-FI;ITALIANO, STORIA, GEOGRAFIA NELLA SCUOLA SECONDARIA DI I GRADO;FI;
8003;A023-FI;LINGUA ITALIANA PER DISCENTI DI LINGUA STRANIERA (ALLOGLOTTI);FI;
8004;A028-FI;MATEMATICA E SCIENZE;FI;
8005;A030-FI;MUSICA NELLA SCUOLA SECONDARIA DI I GRADO;FI;
8006;A049-FI;SCIENZE MOTORIE E SPORTIVE NELLA SCUOLA SECONDARIA DI I GRADO;FI;
8007;A060-FI;TECNOLOGIA NELLA SCUOLA SECONDARIA DI I GRADO;FI;
8008;A070-FI;ITALIANO, STORIA EDUC. CIVICA, GEOGRAFIA SCUOLA SEC. DI I GRADO SLOVENA O BILINGUE;FI;
8009;A071-FI;SLOVENO, STORIA EDUC. CIVICA, GEOGRAFIA SCUOLA SEC. DI I GRADO SLOVENA O BILINGUE;FI;
8010;AA25-FI;LINGUA INGLESE E SECONDA LINGUA COMUNITARIA NELLA SCUOLA SECONDARIA I GRADO (FRANCESE);FI;
8011;AA56-FI;STRUMENTO MUSICALE NELLA SCUOLA SECONDARIA DI I GRADO (ARPA);FI;
8012;AB25-FI;LINGUA INGLESE E SECONDA LINGUA COMUNITARIA NELLA SCUOLA SECONDARIA I GRADO (INGLESE);FI;
8013;AB56-FI;STRUMENTO MUSICALE NELLA SCUOLA SECONDARIA DI I GRADO (CHITARRA);FI;
8014;AC25-FI;LINGUA INGLESE E SECONDA LINGUA COMUNITARIA NELLA SCUOLA SECONDARIA I GRADO (SPAGNOLO);FI;
8015;AC56-FI;STRUMENTO MUSICALE NELLA SCUOLA SECONDARIA DI I GRADO (CLARINETTO);FI;
8016;AD25-FI;LINGUA INGLESE E SECONDA LINGUA COMUNITARIA NELLA SCUOLA SECONDARIA I GRADO (TEDESCO);FI;
8017;AD56-FI;STRUMENTO MUSICALE NELLA SCUOLA SECONDARIA DI I GRADO (CORNO);FI;
8018;AE56-FI;STRUMENTO MUSICALE NELLA SCUOLA SECONDARIA DI I GRADO (FAGOTTO);FI;
8019;AF56-FI;STRUMENTO MUSICALE NELLA SCUOLA SECONDARIA DI I GRADO (FISARMONICA);FI;
8020;AG56-FI;STRUMENTO MUSICALE NELLA SCUOLA SECONDARIA DI I GRADO (FLAUTO);FI;
8021;AH56-FI;STRUMENTO MUSICALE NELLA SCUOLA SECONDARIA DI I GRADO (OBOE);FI;
8022;AI56-FI;STRUMENTO MUSICALE NELLA SCUOLA SECONDARIA DI I GRADO (PERCUSSIONI);FI;
8023;AJ56-FI;STRUMENTO MUSICALE NELLA SCUOLA SECONDARIA DI I GRADO (PIANOFORTE);FI;
8024;AK56-FI;STRUMENTO MUSICALE NELLA SCUOLA SECONDARIA DI I GRADO (SAXOFONO);FI;
8025;AL56-FI;STRUMENTO MUSICALE NELLA SCUOLA SECONDARIA DI I GRADO (TROMBA);FI;
8026;AM56-FI;STRUMENTO MUSICALE NELLA SCUOLA SECONDARIA DI I GRADO (VIOLINO);FI;
8027;AN56-FI;STRUMENTO MUSICALE NELLA SCUOLA SECONDARIA DI I GRADO (VIOLONCELLO);FI;
8028;A002-FI;DESIGN MET.OREF.PIET.DURE GEMME;FI;
8029;A003-FI;DESIGN DELLA CERAMICA;FI;
8030;A004-FI;DESIGN DEL LIBRO;FI;
8031;A005-FI;DESIGN DEL TESSUTO E DELLA MODA;FI;
8032;A006-FI;DESIGN DEL VETRO;FI;
8033;A007-FI;DISCIPLINE AUDIOVISIVE;FI;
8034;A008-FI;DISCIP GEOM, ARCH, ARRED, SCENOTEC;FI;
8035;A009-FI;DISCIP GRAFICHE, PITTORICHE, SCENOG;FI;
8036;A010-FI;DISCIPLINE GRAFICO-PUBBLICITARIE;FI;
8037;A011-FI;DISCIPLINE LETTERARIE E LATINO;FI;
8038;A012-FI;DISCIPL LETTERARIE ISTITUTI II GR;FI;
8039;A013-FI;DISCIPL LETTERARIE, LATINO E GRECO;FI;
8040;A014-FI;DISCIP PLAST. SCUL. SCENOPLAST.;FI;
8041;A015-FI;DISCIPLINE SANITARIE;FI;
8042;A016-FI;DISEG ARTIST MODELLAZ ODONTOTEC;FI;
8043;A017-FI;DISEG STORIA ARTE ISTITUTI II GR;FI;
8044;A018-FI;FILOSOFIA E SCIENZE UMANE;FI;
8045;A019-FI;FILOSOFIA E STORIA;FI;
8046;A020-FI;FISICA;FI;
8047;A021-FI;GEOGRAFIA;FI;
8048;A026-FI;MATEMATICA;FI;
8049;A027-FI;MATEMATICA E FISICA;FI;
8050;A029-FI;MUSICA ISTITUTI II GRADO;FI;
8051;A031-FI;SCIENZE DEGLI ALIMENTI;FI;
8052;A032-FI;SCIENZE DELLA GEOLOGIA E DELLA MINERALOGIA;FI;
8054;A033-FI;SCIENZE E TECNOLOGIE AERONAUTICHE;FI;
8055;A034-FI;SCIENZE E TECNOLOGIE CHIMICHE;FI;
8056;A035-FI;SCIENZE E TECNOLOGIE DELLA CALZATURA E DELLA MODA;FI;
8058;A036-FI;SCIENZE E TECNOLOGIA DELLA LOGISTICA;FI;
8060;A037-FI;COSTRUZ TECNOL E TECN RAPPR GRAFICA;FI;
8061;A038-FI;TECNOL COSTR AERONAUTICHE;FI;
8062;A039-FI;SCIENZE E TECNOLOGIE DELLE COSTRUZIONI NAVALI;FI;
8064;A040-FI;TECNOLOGIE ELETTRICHE ELETTRONICHE;FI;
8065;A041-FI;SCIENZE E TECNOLOGIE INFORMATICHE;FI;
8066;A042-FI;SCIENZE E TECNOLOGIE MECCANICHE;FI;
8067;A043-FI;SCIENZE E TECNOLOGIE NAUTICHE;FI;
8068;A044-FI;SCIENZE E TECNOLOGIE TESSILI, DELL'ABBIGLIAMENTO E DELLA MODA;FI;
8070;A046-FI;SCIENZE GIURIDICO-ECONOMICHE;FI;
8071;A047-FI;SCIENZE MATEMATICHE APPLICATE;FI;
8072;A048-FI;SCIENZE MOTORIE E SPORTIVE II GRADO;FI;
8073;A050-FI;SCIENZE NAT, CHIM E BIOLOG;FI;
8074;A051-FI;SCIENZE, TECNOL E TECN AGR;FI;
8075;A052-FI;SCIENZE, TECNOL E TECN PROD ANIMALI;FI;
8076;A053-FI;STORIA DELLA MUSICA;FI;
8077;A054-FI;STORIA DELL'ARTE;FI;
8078;A057-FI;TECNICA DELLA DANZA CLASSICA;FI;
8079;A058-FI;TECNICA DELLA DANZA CONTEMPORANEA;FI;
8080;A059-FI;TECN ACCOMP DANZA PRAT MUSIC DANZA;FI;
8081;A061-FI;TECNOL E TECN COMUNICAZ MULTIMEDIA;FI;
8082;A062-FI;TECNOL E TECNICHE PER LA GRAFICA;FI;
8083;A063-FI;TECNOLOGIE MUSICALI;FI;
8084;A064-FI;TEORIA, ANALISI E COMPOSIZIONE;FI;
8085;A066-FI;TRATT TESTI DATI APPLIC INFORMATICA;FI;
8086;A072-FI;ITAL II LINGUA SC II GR LING SLOVE;FI;
8087;A073-FI;ITALIANO SC II GR SLOV O BILINGUE;FI;
8088;A074-FI;DISC LETT E LATINO LING SLOVENA;FI;
8089;A075-FI;DISC LETT LATE GRECO LING SLOVENA;FI;
8090;AA24-FI;LINGUA E CULT STRANIERA (FRANCESE);FI;
8091;AB24-FI;LINGUA E CULT STRANIERA (INGLESE);FI;
8092;AB55-FI;CHITARRA;FI;
8093;AC24-FI;LINGUA E CULT STRANIERA (SPAGNOLO);FI;
8094;AD24-FI;LINGUA E CULT STRANIERA (TEDESCO);FI;
8095;AE24-FI;LINGUE E CULTURE STRANIERE NEGLI ISTITUTI DI ISTRUZIONE DI II GRADO (RUSSO);FI;
8097;AF55-FI;FISARMONICA;FI;
8099;AH55-FI;OBOE;FI;
8100;AI24-FI;LINGUA E CULT STRANIERA (CINESE);FI;
8101;AJ24-FI;LINGUE E CULTURE STRANIERE NEGLI ISTITUTI DI ISTRUZIONE DI II GRADO (GIAPPONESE);FI;
8102;AJ55-FI;PIANOFORTE;FI;
8103;AK55-FI;SASSOFONO;FI;
8104;AL55-FI;TROMBA;FI;
8105;AM55-FI;VIOLINO;FI;
8106;AN24-FI;LINGUE E CULTURE STRANIERE NEGLI ISTITUTI DI ISTRUZIONE DI II GRADO (PORTOGHESE);FI;
8107;AN55-FI;VIOLONCELLO;FI;
8108;AO55-FI;CANTO;FI;
8109;AW55-FI;FLAUTO TRAVERSO;FI;
8110;B003-FI;LABORATORI DI FISICA;FI;
8111;B004-FI;LABORATORI DI LIUTERIA;FI;
8112;B005-FI;LABORATORIO DI LOGISTICA;FI;
8113;B006-FI;LABORATORIO DI ODONTOTECNICA;FI;
8114;B007-FI;LABORATORIO DI OTTICA;FI;
8115;B008-FI;LAB PRODUZ INDUSTR ARTIG CERAMICA;FI;
8116;B009-FI;LABORATORI DI SCIENZE E TECNOLOGIE AERONAUTICHE;FI;
8118;B010-FI;LAB SCIENZE E TECNOL COSTR AERON;FI;
8119;B011-FI;LAB SCIENZE E TECNOL AGRARIE;FI;
8120;B012-FI;LAB SCIENZE E TECNOL CHIM MICROBIOL;FI;
8121;B013-FI;LAB SC E TECN CALZATURA E MODA;FI;
8122;B014-FI;LAB SCIENZE E TECNOL COSTRUZIONI;FI;
8123;B015-FI;LAB SC E TECNOL ELETTR ELETTRONIC;FI;
8124;B016-FI;LAB SCIENZE E TECNOL INFORMATICHE;FI;
8125;B017-FI;LAB SCIENZE E TECNOL MECCANICHE;FI;
