degree_class_code;degree_class_name_it;degree_class_number;programme_type_code;degree_class_name_en
TFA083;MATERIE LETTERARIE E LATINO NEI LICEI E ISTITUTI MAGISTRALI DI LINGUA SLOVENA;A083;TF;
TFA084;MATERIE LETTERARIE, LATINO E GRECO NEI LICEI CLASSICI  DI LINGUA SLOVENA;A084;TF;
TFA086;DATTILOGRAFIA E STENOGRAFIA NEGLI ISTITUTI DI II GRADO DI LINGUA SLOVENA;A086;TF;
TFA087;TRATTAMENTO TESTI, CALCOLO, CONTAB.ELETTRON.ED  APPLICAZGESTIONALI CON LINGUA SLOVENA;A087;TF;
TFA092;LINGUA E LETTERE ITALIANE (SECONDA LINGUA) NEGLI ISTITUTI DI II GRADO IN LINGUA TEDESCA;A092;TF;
TFA093;MATERIE LETTERARIE NEGLI ISTITUTI DI II GRADO IN LINGUA TEDESCA E LOCLADINE;A093;TF;
TFA094;MATERIE LETTERARIE E LATINO NEI LICEI E IST.MAGISTRALI IN LINGUA TEDESCA E LOC.LADINE;A094;TF;
TFA095;MATERIE LETTERARIE, LATINO E GRECO NEI LICEI CLASSICI  IN LINGUA TEDESCA E LOC.LADINE;A095;TF;
TFA096;TEDESCO (SECLINGUA) NEGLI ISTITUTI DI II GRADO IN LINGITALDELLA PROV.BOLZANO;A096;TF;
TFA099;DATTILOGRAFIA E STENOGRAFIA NEGLI ISTITUTI DI II GRADO IN LINGUA TEDESCA E LOC.LADINE;A099;TF;
TFA100;TRATTAMENTO TESTI, CALCOLO, CONTAB.ELETTRONICA ED APPLICAZ. GESTION.LINGUA TEDESCA LOC.LAD;A100;TF;
TFC999;-;C999;TF;
TFA001;AEROTECNICA E COSTRUZIONI AERONAUTICHE;A001;TF;
TFA002;ANATOMIA, FISIOPATOLOGIA OCULARE E LABORATORIO DI MISURE OFTALMICHE;A002;TF;
TFA003;ARTE DEL DISEGNO ANIMATO;A003;TF;
TFA004;ARTE DEL TESSUTO DELLA MODA E DEL COSTUME;A004;TF;
TFA005;ARTE DEL VETRO;A005;TF;
TFA006;ARTE DELLA CERAMICA;A006;TF;
TFA007;ARTE DELLA FOTOGRAFIA E GRAFICA PUBBLICITARIA;A007;TF;
TFA008;ARTI DELLA GRAFICA E DELL'INCISIONE;A008;TF;
TFA009;ARTE DELLA STAMPA E DEL RESTAURO DEL LIBRO;A009;TF;
TFA010;ARTI DEI METALLI E DELL'OREFICERIA;A010;TF;
TFA011;ARTE MINERARIA;A011;TF;
TFA012;CHIMICA AGRARIA;A012;TF;
TFA014;CIRCOLAZIONE AEREA TELECOMUNICAZIONI AERONAUTICHE ED ESERCITAZIONI;A014;TF;
TFA015;COSTRUZIONI NAVALI E TEORIA DELLA NAVE;A015;TF;
TFA018;DISCIPLINE GEOMETRICHE, ARCHITETTONICHE ARREDAMENTO E SCENOTECNICA;A018;TF;
TFA021;DISCIPLINE PITTORICHE;A021;TF;
TFA022;DISCIPLINE PLASTICHE;A022;TF;
TFA023;DISEGNO E MODELLAZIONE ODONTOTECNICA;A023;TF;
TFA024;DISEGNO E STORIA DEL COSTUME;A024;TF;
TFA025;DISEGNO E STORIA DELL'ARTE;A025;TF;
TFA026;DISEGNO TECNICO;A026;TF;
TFA027;DISEGNO TECNICO ED ARTISTICO;A027;TF;
TFA028;ARTE E IMMAGINE;A028;TF;
TFA031;EDUCAZIONE MUSICALE NEGLI ISTITUTI DI ISTRUZIONE SECONDARIA DI II GRADO;A031;TF;
TFA040;IGIENE, ANATOMIA, FISIOLOGIA, PATOLOGIA GENERALE E DELL'APPARATO MASTICATORIO;A040;TF;
TFA041;IGIENE MENTALE E PSICHIATRIA INFANTILE;A041;TF;
TFA044;LINGUAGGIO PER LA CINEMATOGRAFIA E LA TELEVISIONE;A044;TF;
TFA046;LINGUA E CIVILTA' STRANIERA;A046;TF;
TFA053;METEOROLOGIA AERONAUTICA ED ESERCITAZIONI;A053;TF;
TFA054;MINERALOGIA E GEOLOGIA;A054;TF;
TFA055;NAVIGAZIONE AEREA ED ESERCITAZIONI;A055;TF;
TFA056;NAVIGAZIONE, ARTE NAVALE ED ELEMENTI DI COSTRUZIONI NAVALI;A056;TF;
TFA062;TECNICA DELLA REGISTRAZIONE DEL SUONO;A062;TF;
TFA063;TECNICA DELLA RIPRESA CINEMATOGRAFICA E TELEVISIVA;A063;TF;
TFA064;TECNICA E ORGANIZZAZIONE DELLA PRODUZIONE CINEMATOGRAFICA E TELEVISIVA;A064;TF;
TFA065;TECNICA FOTOGRAFICA;A065;TF;
TFA066;TECNOLOGIA CERAMICA;A066;TF;
TFA067;TECNOLOGIA FOTOGRAFICA, CINEMATOGRAFICA E TELEVISIVA;A067;TF;
TFA068;TECNOLOGIE DELL'ABBIGLIAMENTO;A068;TF;
TFA069;TECNOLOGIE  GRAFICHE ED IMPIANTI GRAFICI;A069;TF;
TFA070;TECNOLOGIE TESSILI;A070;TF;
TFA073;VITA DI RELAZIONE NEGLI ISTITUTI PROFESSIONALI DI STATO PER NON VEDENTI;A073;TF;
TFA074;ZOOTECNICA E SCIENZA DELLA PRODUZIONE ANIMALE;A074;TF;
TFA075;DATTILOGRAFIA E STENOGRAFIA;A075;TF;
TFA076;TRATTAMENTO TESTI, CALCOLO, CONTABILITA' ELETTRONICA ED APPLICAZIONI GESTIONALI;A076;TF;
TFA445;LINGUA STRANIERA (SPAGNOLO);A445;TF;
TFA545;LINGUA STRANIERA (TEDESCO);A545;TF;
TFA645;LINGUA STRANIERA (RUSSO);A645;TF;
TFA745;LINGUA STRANIERA (ALBANESE);A745;TF;
TFA746;LINGUA E CIVILTA' STRANIERA (ALBANESE);A746;TF;
TFA846;LINGUA E CIVILTA' STRANIERA (SLOVENO);A846;TF;
TFA946;LINGUA E CIVILTA' STRANIERA (SERBO-CROATO);A946;TF;
TFA998;CLASSE DI CONCORSO SOPPRESSA AI SENSI DEL D.M3.9.82;A998;TF;
TFA999;CLASSE DI CONCORSO SOPPRESSA AI SENSI DEL D.M3.9.82;A999;TF;
TFC010;ADDETTO ALL'UFFICIO TECNICO;C010;TF;
TFC020;ATTIVITA' PRATICHE SPECIALI;C020;TF;
TFC030;CONVERSAZIONE IN LINGUA STRANIERA;C030;TF;
TFC031;CONVERSAZIONE IN LINGUA STRANIERA (FRANCESE);C031;TF;
TFC032;CONVERSAZIONE IN LINGUA STRANIERA (INGLESE);C032;TF;
TFC033;CONVERSAZIONE IN LINGUA STRANIERA (SPAGNOLO);C033;TF;
TFC034;CONVERSAZIONE IN LINGUA STRANIERA (TEDESCO);C034;TF;
TFC035;CONVERSAZIONE IN LINGUA STRANIERA (RUSSO);C035;TF;
TFC036;CONVERSAZIONE IN LINGUA STRANIERA (ALBANESE);C036;TF;
TFC037;CONVERSAZIONE IN LINGUA STRANIERA (SLOVENO);C037;TF;
TFC038;CONVERSAZIONE IN LINGUA STRANIERA (SERBO CROATO);C038;TF;
TFC040;ESERCITAZIONI AERONAUTICHE;C040;TF;
TFC050;ESERCITAZIONI AGRARIE;C050;TF;
TFC060;ESERCITAZIONI CERAMICHE DI DECORAZIONE;C060;TF;
TFC070;ESERCITAZIONI DI ABBIGLIAMENTO E MODA;C070;TF;
TFC080;ESERCITAZIONI DI CIRCOLAZIONE AEREA;C080;TF;
TFC090;ESERCITAZIONI DI COMUNICAZIONI;C090;TF;
TFC100;ESERCITAZIONI DI DISEGNO ARTISTICO DI TESSUTI;C100;TF;
TFC110;ESERCITAZIONI DI ECONOMIA DOMESTICA;C110;TF;
TFC120;ESERCITAZIONI DI MODELLISMO, FORMATURE E PLASTICA, FOGGIATURA E RIFINITURA;C120;TF;
TFC130;ESERCITAZIONI DI ODONTOTECNICA;C130;TF;
TFC140;ESERCITAZIONI DI OFFICINA MECCANICA, AGRICOLA E DI MACCHINE AGRICOLE;C140;TF;
TFC150;ESERCITAZIONI DI PORTINERIA E PRATICA DI AGENZIA;C150;TF;
TFC160;ESERCITAZIONE DI TECNOLOGIA CERAMICA;C160;TF;
TFC170;ESERCITAZIONI DI TEORIA DELLA NAVE E DI COSTRUZIONI NAVALI;C170;TF;
TFC180;ESERCITAZIONI NAUTICHE;C180;TF;
TFC190;ESERCITAZIONI PRATICHE PER CENTRALINISTI TELEFONICI;C190;TF;
TFC200;ESERCITAZIONI PRATICHE DI OTTICA;C200;TF;
TFC210;GABINETTO FISIOTERAPICO;C210;TF;
TFC220;LABORATORIO DI TECNOL.TESSILI E DELL'ABBIGLIAMENTO E REPARTI DI LAVORAZ.TESSILI E ABBIGL;C220;TF;
TFC230;LABORATORIO DI AEROTECNICA, COSTRUZIONI E TECNOLOGIE AERONAUTICHE;C230;TF;
TFC240;LABORATORIO DI CHIMICA E CHIMICA INDUSTRIALE;C240;TF;
TFC250;LABORATORIO DI COSTRUZIONE, VERNICIATURA E RESTAURO DI STRUMENTI AD ARCO;C250;TF;
TFC260;LABORATORIO DI ELETTRONICA;C260;TF;
TFC270;LABORATORIO DI ELETTROTECNICA;C270;TF;
TFC280;LABORATORIO DI FISICA ATOMICA E NUCLEARE E STRUMENTI;C280;TF;
TFC290;LABORATORIO DI FISICA E FISICA APPLICATA;C290;TF;
TFC300;LABORATORIO DI INFORMATICA GESTIONALE;C300;TF;
TFC310;LABORATORIO DI INFORMATICA INDUSTRIALE;C310;TF;
TFC320;LABORATORIO MECCANICO-TECNOLOGICO;C320;TF;
TFC330;LABORATORIO DI OREFICERIA;C330;TF;
TFC340;LABORATORIO DI PROGETTAZIONE TECNICA PER LA CERAMICA;C340;TF;
TFC350;LABORATORIO DI TECNICA MICROBIOLOGICA;C350;TF;
TFC360;LABORATORIO DI TECNOLOGIA CARTARIA ED ESERCITAZIONI DI CARTIERA;C360;TF;
TFC370;LABORATORIO E REPARTI DI LAVORAZIONE DEL LEGNO;C370;TF;
TFC380;LABORATORIO E REPARTI DI LAVORAZIONE PER LE ARTI GRAFICHE;C380;TF;
TFC390;LABORATORIO E REPARTI DI LAVORAZIONE PER L'INDUSTRIA MINERARIA;C390;TF;
TFC400;LABORATORIO PER LE INDUSTRIE CERAMICHE;C400;TF;
TFC410;LABORATORIO TECNOLOGICO PER IL MARMO-REPARTI ARCHITETTURA, MACCHINE;C410;TF;
TFC420;LABORATORIO TECNOLOGICO PER IL MARMO-REPARTI SCULTURA,SMODELLATURA,DECORAZIONE E ORNATO;C420;TF;
TFC430;LABORATORIO TECNOLOGICO PER L'EDILIZIA ED ESERCITAZIONI DI TOPOGRAFIA;C430;TF;
TFC440;MASSOCHINESITERAPIA;C440;TF;
TFC450;METODOLOGIE OPERATIVE NEI SERVIZI SOCIALI;C450;TF;
TFC460;REPARTI DI LAVORAZIONE PER IL MONTAGGIO CINEMATOGRAFICO E TELEVISIVO;C460;TF;
TFC470;REPARTI DI LAVORAZIONE PER LA REGISTRAZIONE DEL SUONO;C470;TF;
TFC480;REPARTI DI LAVORAZIONE PER LA RIPRESA CINEMATOGRAFICA E TELEVISIVA;C480;TF;
TFC490;REPARTI DI LAVORAZIONE PER LE ARTI FOTOGRAFICHE;C490;TF;
TFC500;TECNICA DEI SERVIZI ED ESERCITAZIONI PRATICHE DI CUCINA;C500;TF;
TFC510;TECNICA DEI SERVIZI ED ESERCITAZIONI PRATICHE DI SALA BAR;C510;TF;
TFC520;TECNICA DEI SERVIZI E PRATICA OPERATIVA;C520;TF;
TFC555;ESERCITAZIONI DI PRATICA PROFESSIONALE;C555;TF;
TFD601;ARTE DELLA LAVORAZIONE DEI METALLI;D601;TF;
TFD602;ARTE DELL'OREFICERIA, DELLA LAVORAZIONE DELLE PIETRE DURE E DELLE GEMME;D602;TF;
TFD603;ARTE DEL DISEGNO D'ANIMAZIONE;D603;TF;
TFD604;ARTE DELLA RIPRESA E MONTAGGIO PER IL DISEGNO ANIMATO;D604;TF;
TFD605;ARTE DELLA TESSITURA E DELLA DECORAZIONE DEI TESSUTI;D605;TF;
TFD606;ARTE DELLA LAVORAZIONE DEL VETRO E DELLA VETRATA;D606;TF;
TFD607;ARTE DEL RESTAURO DELLA CERAMICA E DEL VETRO;D607;TF;
TFD608;ARTE DELLA DECORAZIONE E COTTURA DEI PRODOTTI CERAMICI;D608;TF;
TFD609;ARTE DELLA FORMATURA E FOGGIATURA;D609;TF;
TFD610;ARTE DELLA FOTOGRAFIA E DELLA CINEMATOGRAFIA;D610;TF;
TFD611;ARTE DELAA XILOGRAFIA, CALCOGRAFIA E LITOGRAFIA;D611;TF;
TFD612;ARTE DELLA SERIGRAFIA E DELLA FOTOINCISIONE;D612;TF;
TFD613;ARTE DELLA TIPOGRAFIA E DELLA GRAFICA PUBBLICITARIA;D613;TF;
TFD614;ARTE DEL TAGLIO E CONFEZIONE;D614;TF;
TFD615;ARTE DELLA DECORAZIONE PITTORICA E SCENOGRAFICA;D615;TF;
TFD616;ARTE DELLA MODELLISTICA, DELL'ARREDAMENTO E DELLA SCENOTECNICA;D616;TF;
TFD617;ARTE DELLA LEGATORIA E DEL RESTAURO DEL LIBRO;D617;TF;
TFD618;ARTE DELL'EBANISTERIA, DELL'INTAGLIO E DELL'INTARSIO;D618;TF;
TFD619;ARTE DELLE LACCHE, DELLA DORATURA E DEL RESTAURO;D619;TF;
TFD620;ARTE DEL MOSAICO E DEL COMMESSO;D620;TF;
TFD621;ARTE DELLA LAVORAZIONE DEL MARMO E DELLA PIETRA;D621;TF;
TFD622;LABORATORIO TECNOLOGICO DELLE ARTI DELLA CERAMICA DEL VETRO E DEL CRISTALLO;D622;TF;
TFF010;ACCOMPAGNATORI AL PIANOFORTE;F010;TF;
TFF020;ARMONIA COMPLEMENTARE;F020;TF;
TFF030;ARMONIA CONTRAPPUNTO FUGA E COMPOSIZIONE;F030;TF;
TFF040;ARMONIA E CONTRAPPUNTO;F040;TF;
TFF050;ARPA;F050;TF;
TFF060;ARTE SCENICA;F060;TF;
TFF070;BIBLIOTECARIO;F070;TF;
TFF080;CANTO;F080;TF;
TFF090;CHITARRA;F090;TF;
TFF100;CLARINETTO;F100;TF;
TFF110;CLAVICEMBALO;F110;TF;
TFF120;COMPOSIZIONE POLIFONICA VOCALE;F120;TF;
TFF130;CONTRABBASSO;F130;TF;
TFF140;CORNO;F140;TF;
TFF150;DIREZIONE D'ORCHESTRA;F150;TF;
TFF160;ESERCITAZIONI CORALI;F160;TF;
TFF170;ESERCITAZIONI ORCHESTRALI;F170;TF;
TFF180;FAGOTTO;F180;TF;
TFF190;FLAUTO;F190;TF;
TFF200;LETTERATURA ITALIANA;F200;TF;
TFF210;LETTERATURA POETICA E DRAMMATICA;F210;TF;
TFF220;LETTURA DELLA PARTITURA;F220;TF;
TFF230;MUSICA CORALE E DIREZIONE DI CORO;F230;TF;
TFF240;MUSICA DA CAMERA;F240;TF;
TFF250;MUSICA D'INSIEME STRUMENTI AD ARCO;F250;TF;
TFF260;MUSICA D'INSIEME STRUMENTI A FIATO;F260;TF;
TFF280;OBOE;F280;TF;
TFF290;ORGANO E COMPOSIZIONE ORGANISTICA;F290;TF;
TFF300;ORGANO COMPLEMENTARE E CANTO GREGORIANO;F300;TF;
TFF310;PIANOFORTE;F310;TF;
TFF320;PIANOFORTE COMPLEMENTARE;F320;TF;
TFF330;STORIA DELLA MUSICA E STORIA ED ESTETICA MUSICALE;F330;TF;
TFF340;STRUMENTAZIONE PER BANDA;F340;TF;
TFF350;TEORIA SOLFEGGIO E DETTATO MUSICALE;F350;TF;
TFF360;TROMBA E TROMBONE;F360;TF;
TFF370;VIOLA;F370;TF;
TFF380;VIOLA COMPLEMENTARE;F380;TF;
TFF390;VIOLINO;F390;TF;
TFF400;VIOLINO COMPLEMENTARE;F400;TF;
TFF410;VIOLONCELLO;F410;TF;
TFF420;MUSICA SACRA;F420;TF;
TFF430;FUGA E COMPOSIZIONE;F430;TF;
TFF440;SASSOFONO;F440;TF;
TFF450;STRUMENTI A PERCUSSIONE;F450;TF;
TFF460;BASSO TUBA;F460;TF;
TFF470;PEDAGOGIA MUSICALE PER DIDATTICA DELLA MUSICA;F470;TF;
TFF480;ELEMENTI DI COMPOSIZIONE PER DIDATTICA DELLA MUSICA;F480;TF;
TFF490;DIREZIONE DI CORO E REPERTORIO CORALE PER DIDATTICA DELLA MUSICA;F490;TF;
TFF500;STORIA DELLA MUSICA PER DIDATTICA DELLA MUSICA;F500;TF;
TFF510;PRATICA DELLA LETTURA VOCALE E PIANISTICA PER DIDATTICA DELLA MUSICA;F510;TF;
TFF520;FISARMONICA;F520;TF;
TFF530;FLAUTO DOLCE;F530;TF;
TFF540;JAZZ;F540;TF;
TFF550;LIUTO;F550;TF;
TFF560;MANDOLINO;F560;TF;
TFF570;MUSICA ELETTRONICA;F570;TF;
TFF580;MUSICA VOCALE DA CAMERA;F580;TF;
TFF590;PREPOLIFONIA;F590;TF;
TFF600;VIOLA DA GAMBA;F600;TF;
TFG010;PITTURA;G010;TF;
TFG020;SCULTURA;G020;TF;
TFG030;SCENOGRAFIA;G030;TF;
TFG040;DECORAZIONE;G040;TF;
TFG060;STILE, STORIA DELL'ARTE E DEL COSTUME;G060;TF;
TFG070;ANATOMIA ARTISTICA;G070;TF;
TFG080;TECNICHE DELL'INCISIONE;G080;TF;
TFG090;PLASTICA ORNAMENTALE;G090;TF;
TFG100;TECNICHE GRAFICHE SPECIALI;G100;TF;
TFG110;TECNICHE DI FONDERIA;G110;TF;
TFG120;TECNICHE DELLA SCULTURA;G120;TF;
TFG130;RESTAURO IND1;G130;TF;
TFG140;RESTAURO IND2;G140;TF;
TFG150;RESTAURO IND3;G150;TF;
TFG160;ELEMENTI DI ARCHITETTURA E URBANISTICA;G160;TF;
TFG170;METODOLOGIA DELLA PROGETTAZIONE;G170;TF;
TFG180;MODELLISTICA;G180;TF;
TFG190;PEDAGOGIA E DIDATTICA DELL ' ARTE;G190;TF;
TFG200;FOTOGRAFIA;G200;TF;
TFG210;COSTUME PER LO SPETTACOLO;G210;TF;
TFG220;TEORIA E METODO DEI MASS MEDIA;G220;TF;
TFG230;TEORIA DELLA PERCEZIONE E PSICOLOGIA DELLE FORME;G230;TF;
TFG240;DESIGN;G240;TF;
TFG250;SCENOTECNICA;G250;TF;
TFG260;STORIA DELLO SPETTACOLO;G260;TF;
TFG270;TECNICHE PITTORICHE;G270;TF;
TFG280;ESTETICA;G280;TF;
TFG290;STORIA E METODOLOGIA DELLA CRITICA D' ARTE;G290;TF;
TFG300;BENI CULTURALI E AMBIENTALI;G300;TF;
TFG310;ANTROPOLOGIA CULTURALE;G310;TF;
TFG320;REGIA;G320;TF;
TFG330;TECNICHE ED USO DEL MARMO, DELLE PIETRE E DELLE PIETRE DURE;G330;TF;
TFG340;FENOMENOLOGIA DELLE ARTI CONTEMPORANEE;G340;TF;
TFH010;ASSISTENTE DI PITTURA;H010;TF;
TFH020;ASSISTENTE DI SCULTURA;H020;TF;
TFH030;ASSISTENTE DI SCENOGRAFIA;H030;TF;
TFH040;ASSISTENTE DI DECORAZIONE;H040;TF;
TFH060;ASSISTENTE DI STILE, STORIA DELL'ARTE E DEL COSTUME;H060;TF;
TFH070;ASSISTENTE DI ANATOMIA ARTISTICA;H070;TF;
TFH080;ASSISTENTE DI TECNICHE DELL'INCISIONE;H080;TF;
TFH090;ASSISTENTE DI PLASTICA ORNAMENTALE;H090;TF;
TFL010;TEORIA DELLA PERCEZIONE E PSICOLOGIA DELLA FORMA;L010;TF;
TFL020;TEORIA E METODO DEI MASS MEDIA;L020;TF;
TFL030;PEDAGOGIA E DIDATTICHE SPECIALI DELL'INSEGNAMENTO;L030;TF;
TFL040;TECNICA DELLA FOTOGRAFIA;L040;TF;
TFL050;TECNICHE GRAFICHE SPECIALI;L050;TF;
TFL060;MODELLISTICA;L060;TF;
TFL070;ASPETTI PROPEDEUTICI E METODOLOGICI DELLA PROGETTAZIONE;L070;TF;
TFM011;TECNICHE PITTORICHE;M011;TF;
TFM012;RESTAURO (ANALISI STORICA,CRITICA,TECNICA, METODOLOGIA  D'INTERVENTO);M012;TF;
TFM013;DESIGN (TECNICA E METODO PROGETTUALE);M013;TF;
TFM014;ASPETTI STORICI E SOCIO-ECONOMICI DELLA PROGETTAZIONE;M014;TF;
TFM021;TECNOLOGIA ED USO DEL MARMO, DELLE PIETRE E DELLE PIETRE DURE;M021;TF;
TFM022;TECNOLOGIA ED USO DELLE ARENARIE E DEI MATERIALI SINTETICI;M022;TF;
TFM023;TECNICHE DI FONDERIA (TEORIA E PRATICA DI FORMATURA E  DI MICRO E MACRO FUSIONE);M023;TF;
TFM031;STORIA DELLO SPETTACOLO, DEL COSTUME TEATRALE EDELLE   ARTI SCENICHE;M031;TF;
TFM032;SCENOTECNICA;M032;TF;
TFM033;ELEMENTI DI ARCHITETTURA E URBANISTICA;M033;TF;
TFM034;TECNICHE DEL COSTUME TEATRALE;M034;TF;
TFM040;BENI CULTURALI;M040;TF;
TFM050;ELEMENTI DI LETTERATURA MODERNA E CONTEMPORANEA;M050;TF;
TFM060;ILLUMINOTECNICA;M060;TF;
TFM070;NUOVI MATERIALI E STRUTTURE LINGUAGGIO VISIVO;M070;TF;
TFM080;STORIA DEL COSTUME;M080;TF;
TFM090;STORIA DELL'ARTE CONTEMPORANEA E PROBLEMI DELLE AVANGUARDIE;M090;TF;
TFM100;ESTETICA;M100;TF;
TFM110;ANTROPOLOGIA CULTURALE E SOCIOLOGIA DELL'ARTE;M110;TF;
TFM120;RICERCA E TECNICA DEI MATERIALI ARTISTICI DELLA SCULTURA;M120;TF;
TFM130;SEMIOLOGIA;M130;TF;
TFM140;STUDIO DELL'AMBIENTE E TECNICHE DI RAPPRESENTAZIONE;M140;TF;
TFM150;ARREDAMENTO TEATRALE;M150;TF;
TFM160;ANTROPOLOGIA CULTURALE-ETNOLOGIA;M160;TF;
TFM170;TEORIA E TECNICA DELLA RIPRESA CINEMATOGRAFICA;M170;TF;
TFM180;MACCHINERIA TEATRALE;M180;TF;
TFM190;ESTETICA SPERIMENTALE;M190;TF;
TFM200;ARCHEOLOGIA;M200;TF;
TFM210;RICERCHE SOCIOLOGICHE NELL'ARTE;M210;TF;
TFM220;GRAFICA PUBBLICITARIA;M220;TF;
TFM230;STUDIO TEC.VALORI ARTIST.SPONTANEI MEDIANTE ESPRES.GRAFICA,PLAST.,PITTANTICHITA' ITAL;M230;TF;
TFM240;TRADIZIONI POPOLARI ABRUZZESI;M240;TF;
TFM250;SOCIOLOGIA DELL'ARTE;M250;TF;
TFM260;STORIA E CIVILTA' DELL'UOMO;M260;TF;
TFM270;ELEMENTI DI REGIA;M270;TF;
TFM280;TECNICHE DELL'ANIMAZIONE;M280;TF;
TFM290;STORIA DELLA MUSICA;M290;TF;
TFM300;RILEVAZIONE BENI CULTURALI;M300;TF;
TFM310;SCUOLA SERALE ARTEFICI;M310;TF;
TFM320;ELEMENTI DI STORIA POLITICA E SOCIALE;M320;TF;
TFM330;ARREDAMENTO;M330;TF;
TFM340;LETTERATURA CONTEMPORANEA;M340;TF;
TFM350;TECNICA DELLA REGIA;M350;TF;
TFM360;SERIGRAFIA;M360;TF;
TFM370;CORRENTI ARTISTICHE CONTEMPORANEE E D'AVANGUARDIA;M370;TF;
TFM380;MOSAICO;M380;TF;
TFM390;LETTERATURA ITALIANA E STRANIERA;M390;TF;
TFM400;CALCOGRAFIA;M400;TF;
TFM410;VARIE TECNICHE DELLA SCULTURA;M410;TF;
TFM420;FORMATURA;M420;TF;
TFM430;ELEMENTI DI REGIA TEATRALE, CINEMATOGRAFICA, TELEVISIVA;M430;TF;
TFM440;LAVORAZIONE DEL LEGNO;M440;TF;
TFM450;SCENOGRAFIA TELEVISIVA;M450;TF;
TFM460;STORIA DELLA CRITICA D'ARTE CONTEMPORANEA;M460;TF;
TFM470;CORRENTI ARTISTICHE CONTEMPORANEE;M470;TF;
TFM480;SCUOLA LIBERA DEL NUDO;M480;TF;
TFN010;ANALISI DELLA MUSICA;N010;TF;
TFN020;ASSISTENTE MUSICALE (RADIO,TV,DISCHI E APPARECCHIATURE ELETTRONICHE);N020;TF;
TFN030;BASSO TUBA;N030;TF;
TFN040;DIDATTICA DELLA MUSICA;N040;TF;
TFN050;DIREZIONE D'ORCHESTRA PER AVVIAMENTO AL TEATRO LIRICO;N050;TF;
TFAB77;Chitarra;AB77;TF;
TFN060;INFORMATICA MUSICALE;N060;TF;
TFAC77;Clarinetto;AC77;TF;
TFN070;ITALIANO, LATINO, STORIA ED EDUCAZIONE CIVICA;N070;TF;
TFAD77;Corno;AD77;TF;
TFAE77;Fagotto;AE77;TF;
TFN080;LINGUA STRANIERA;N080;TF;
TFAF77;Fisarmonica;AF77;TF;
TFN090;ACCORDATURA DI STRUMENTI A TASTIERA;N090;TF;
TFAG77;Flauto;AG77;TF;
TFN100;LIUTERIA;N100;TF;
TFN110;MANDOLINO;N110;TF;
TFN120;MUSICA ELETTRONICA;N120;TF;
TFN130;MUSICA JAZZ;N130;TF;
TFN140;MUSICA SACRA, LITURGICA, LITURGICA PREPOLIFONICA;N140;TF;
TFN150;MUSICA VOCALE DA CAMERA;N150;TF;
TFAH77;Oboe;AH77;TF;
TFN170;STORIA DELL'ARTE;N170;TF;
TFN180;STRUMENTI ANTICHI(LIUTO,FLAUTI DOLCI,VIOLA ETC.);N180;TF;
TFAI77;Percussioni;AI77;TF;
TFN200;PROPEDEUTICA MUSICALE;N200;TF;
TFAJ77;Pianoforte;AJ77;TF;
TFN210;COLLABORAZIONE PIANISTICA;N210;TF;
TFAK77;Saxofono;AK77;TF;
TFN220;CLARINETTO BASSO;N220;TF;
TFN230;DIZIONE, RECITAZIONE E STORIA DEL TEATRO;N230;TF;
TFAL77;Tromba;AL77;TF;
TFN240;MATERIE LETTERARIE;N240;TF;
TFN250;ORIENTAMENTO MUSICALE;N250;TF;
TFAM77;Violino;AM77;TF;
TFN260;PRATICA PIANISTICA;N260;TF;
TFP010;TECNICA DELLA DANZA;P010;TF;
TFP020;TEORIA DELLA DANZA;P020;TF;
TFP030;PROPEDEUTICA DELLA DANZA (CORSO STRAORDINARIO);P030;TF;
TFP040;STORIA DELLA DANZA;P040;TF;
TFP050;COMPOSIZIONE;P050;TF;
TFP060;ACCOMPAGNATORE AL PIANOFORTE;P060;TF;
TFP070;STORIA DELLA MUSICA;P070;TF;
TFP080;STORIA DELL'ARTE PER ACCADEMIA NAZIONALE DI DANZA;P080;TF;
TFP090;SOLFEGGIO;P090;TF;
TFP100;COMUNICAZIONI VISIVE (CORSO SPECIALE);P100;TF;
TFP110;INGLESE PRESSO ACCADEMIA NAZIONALE DI DANZA (CORSO SPECIALE);P110;TF;
TFP120;FRANCESE PRESSO ACCADEMIA NAZIONALE DI DANZA (CORSO SPECIALE);P120;TF;
TFP130;REPERTORIO (CORSO SPECIALE);P130;TF;
TFP140;ANATOMIA E FISIOLOGIA DEL MOVIMENTO (CORSO SPECIALE);P140;TF;
TFQ010;STORIA DELLO SPETTACOLO;Q010;TF;
TFQ020;STORIA DEL TEATRO;Q020;TF;
TFQ030;STORIA DELLA MUSICA;Q030;TF;
TFQ040;TRUCCO E MASCHERA;Q040;TF;
TFQ050;EDUCAZIONE ALLA VOCE;Q050;TF;
TFQ060;CANTO;Q060;TF;
TFQ070;DANZA;Q070;TF;
TFQ080;SCHERMA ED ACROBATICA;Q080;TF;
TFQ090;ACCOMPAGNATORE AL PIANOFORTE;Q090;TF;
TFAA77;Arpa;AA77;TF;
TFAN77;Violoncello;AN77;TF;
TFAA46;LINGUA e CIV. STRANIERA (CINESE);AA46;TF;
TFAB46;LINGUA e CIV. STRANIERA (GIAPPONESE);AB46;TF;
TFAC46;LINGUA e CIV. STRANIERA (EBRAICO);AC46;TF;
TFAD46;LINGUA e CIV. STRANIERA (ARABO);AD46;TF;
